variant,position,n,pearson_r,median_abs_diff,mean_signed_diff_mfl_minus_espn,max_abs_diff
all_non_keeper,QB,5,0.9910279991654446,10.09476439790576,-13.865170005059412,27.827807486631016
all_non_keeper,RB,11,0.9829085887377303,3.3020942408376968,-3.495200902208043,22.719786096256684
all_non_keeper,WR,15,0.9918898000508442,3.874468085106386,-3.7392862887237297,18.069892473118273
all_non_keeper,TE,5,0.9978523555209856,5.316949152542364,1.405055457096364,7.721052631578949
all_non_keeper,ALL,36,0.9872015033447579,5.0423287429378485,-4.356585472082212,27.827807486631016
native_live_only,QB,5,0.9925905641338592,10.271641791044772,-13.71780563774556,26.35967741935484
native_live_only,RB,11,0.9815034317654527,2.918750000000003,-3.45158401557174,22.64848484848485
native_live_only,WR,15,0.9915562549151303,3.9303030303030315,-4.509658609406335,19.671875
native_live_only,TE,5,0.9984891034537765,4.166141732283464,1.3580422115298831,7.826229508196718
native_live_only,ALL,36,0.9874913918739188,5.40495436766623,-4.650308901207293,26.35967741935484
native_live_plus_commissioner_imported,QB,5,0.9916474106607067,10.141176470588235,-13.862236294621104,27.349720670391065
native_live_plus_commissioner_imported,RB,11,0.982789522193557,3.5305084745762727,-3.579769401937904,22.991860465116275
native_live_plus_commissioner_imported,WR,15,0.9917639040806232,4.4571428571428555,-3.7677252168752156,18.017142857142858
native_live_plus_commissioner_imported,TE,5,0.9979165969976199,5.890062111801242,0.834491617653309,7.988235294117651
native_live_plus_commissioner_imported,ALL,36,0.9877495700911966,5.117052174197132,-4.473112918313449,27.349720670391065
auto_default_rank_only,QB,5,0.9746489667748536,12.61851851851852,-14.331029285099055,38.525000000000006
auto_default_rank_only,RB,11,0.9833796189828351,3.184615384615385,-2.1449800266187826,19.261538461538457
auto_default_rank_only,WR,15,0.9843303145257197,3.8545454545454554,-2.62771164460277,26.2235294117647
auto_default_rank_only,TE,5,0.9985572544501968,6.099999999999994,5.233175888439041,8.255555555555532
auto_default_rank_only,ALL,36,0.9769143191566877,5.176068376068374,-3.0138811651430064,38.525000000000006
SENSITIVITY_all_non_keeper_excluding_early_qb_leagues,QB,5,0.9909008874397625,6.815789473684205,-8.864178302900111,21.316666666666677
SENSITIVITY_all_non_keeper_excluding_early_qb_leagues,RB,11,0.9805416766451107,4.804081632653062,-4.570754115099619,25.863157894736837
SENSITIVITY_all_non_keeper_excluding_early_qb_leagues,WR,15,0.9916289170217123,6.002040816326531,-5.9769402613695695,24.11250000000001
SENSITIVITY_all_non_keeper_excluding_early_qb_leagues,TE,5,0.9981842684465895,4.353763440860206,1.6201017999646736,8.23265306122449
SENSITIVITY_all_non_keeper_excluding_early_qb_leagues,ALL,36,0.9861213466395173,4.860288239006946,-4.89313282503657,25.863157894736837
